,Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
0,Not Like Us,Kendrick Lamar,Not Like Us,5JjnoGJyOxfSZUZtk2rRwZ,6AI3ezQ4o3HUoP6Dhudph3,93,2024-05-04,274192,True,https://open.spotify.com/track/6AI3ezQ4o3HUoP6Dhudph3,0.898,0.472,1,-7.001,1,0.0776,0.0107,0.0,0.141,0.214,101.061
1,Big Dawgs,"Hanumankind, Kalmi",Big Dawgs,6Yw4204wbgmpsGTzjXBhYD,0OA00aPt3BV10qeMIs3meW,92,2024-07-09,190667,True,https://open.spotify.com/track/0OA00aPt3BV10qeMIs3meW,0.464,0.745,4,-3.202,0,0.161,0.0235,0.0,0.363,0.262,180.098
2,Guess featuring Billie Eilish,"Charli xcx, Billie Eilish",Guess featuring Billie Eilish,3ThlxfLSy4bfKzxWqmC7VN,3WOhcATHxK2SLNeP5W3v1v,92,2024-08-01,145219,False,https://open.spotify.com/track/3WOhcATHxK2SLNeP5W3v1v,0.776,0.667,7,-6.622,1,0.0983,0.0146,0.3,0.0761,0.618,130.019
3,I Don't Wanna Wait,"David Guetta, OneRepublic",I Don't Wanna Wait,0wCLHkBRKcndhMQQpeo8Ji,331l3xABO0HMr1Kkyh2LZq,90,2024-04-05,149668,False,https://open.spotify.com/track/331l3xABO0HMr1Kkyh2LZq,0.681,0.714,1,-4.617,0,0.0309,0.0375,0.0,0.232,0.554,129.976
4,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",I Had Some Help,1woYXxyyxTQJ0E0AhZE6mj,7221xIgOnuakPdLqT0F3nP,90,2024-05-10,178206,True,https://open.spotify.com/track/7221xIgOnuakPdLqT0F3nP,0.638,0.855,7,-4.86,1,0.0264,0.00757,0.0,0.245,0.731,127.986
5,KEHLANI,Jordan Adetunji,KEHLANI,5Zwbll6KYxOjZSuxRjQDEm,2hrycoFU1mZw6YPvMcn8yC,88,2024-06-24,122361,False,https://open.spotify.com/track/2hrycoFU1mZw6YPvMcn8yC,0.645,0.634,10,-3.769,0,0.0341,0.158,3.78e-06,0.0908,0.352,160.017
6,Like That,"Future, Metro Boomin, Kendrick Lamar",WE DON'T TRUST YOU,4iqbFIdGOTzXeDtt9owjQn,2tudvzsrR56uom6smgOcSf,87,2024-03-22,267707,True,https://open.spotify.com/track/2tudvzsrR56uom6smgOcSf,0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012
7,Houdini,Eminem,Houdini,6Xuu2z00jxRPZei4IJ9neK,2HYFX63wP3otVIvopRS99Z,87,2024-05-31,227239,True,https://open.spotify.com/track/2HYFX63wP3otVIvopRS99Z,0.936,0.887,9,-2.76,0,0.0683,0.0292,1.88e-06,0.0582,0.889,127.003
8,BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby",BAND4BAND (feat. Lil Baby),4AzPr5SUpNF553eC1d3aRy,7iabz12vAuVQYyekFIWJxD,86,2024-05-23,140733,True,https://open.spotify.com/track/7iabz12vAuVQYyekFIWJxD,0.882,0.764,11,-5.241,1,0.204,0.359,0.0,0.119,0.886,140.113
9,fukumean,Gunna,a Gift & a Curse,5qmZefgh78fN3jsyPPlvuw,4rXLjWdF2ZZpXCVTfWcshS,85,2023-06-16,125040,True,https://open.spotify.com/track/4rXLjWdF2ZZpXCVTfWcshS,0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001
10,Apple,Charli xcx,BRAT,2lIZef4lzdvZkiiCzvPKj7,19RybK6XDbAVpcdxSbZL1o,89,2024-06-07,151740,False,https://open.spotify.com/track/19RybK6XDbAVpcdxSbZL1o,0.804,0.957,0,-5.452,1,0.034,0.125,0.0174,0.114,0.962,126.035
