,Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
0,Heat Waves,Glass Animals,Dreamland,5bfpRtBW7RNRdsm3tRyl3R,3USxtqRwSYz57Ewm6wWRMp,86,2020-08-07,238805,False,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
1,Hope,XXXTENTACION,?,2Ti79nwTsont5ZHfdxIzAm,2ZRo7axmMPeSVUvDbGkJah,83,2018-03-16,110886,True,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04
2,Infinity,Jaymes Young,Feel Something,6MuWCR3WPjwyKhqsTKLZ3z,1SOClUWhOi8vHZYMz3GluK,79,2017-06-23,237720,False,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK,0.671,0.673,11,-6.941,0,0.0444,0.148,5.29e-05,0.304,0.494,121.963
3,On My Way,"Alan Walker, Sabrina Carpenter, Farruko",On My Way,1bcvtuHyO79DNAOOhHEkEm,4n7jnSxVLd8QioibtTDBDq,73,2019-03-21,193798,True,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq,0.509,0.689,1,-4.929,0,0.102,0.0209,0.0,0.301,0.297,170.087
4,Faded,Alan Walker,Different World,3nzuGtN3nXARvvecier4K0,698ItKASDavgwZ3WjaWjtz,81,2018-12-14,212107,False,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz,0.468,0.627,6,-5.085,1,0.0476,0.0281,7.97e-06,0.11,0.159,179.642
5,Bad Boy (feat. Luana Kiara),"Raaban, Tungevaag, Luana Kiara",Bad Boy (feat. Luana Kiara),2bSk6eLpsfqUBRZ0d0Yxax,64p6ua7zpf66s62StC2QLv,64,2018-08-24,190674,False,https://open.spotify.com/track/64p6ua7zpf66s62StC2QLv,0.644,0.892,0,-1.1,0,0.0567,0.13,0.000113,0.0893,0.767,180.044
6,Memories,Maroon 5,JORDI (Deluxe),1pCA38N6MkLlthXtAOvZTU,4cktbXiXOapiLBMprHFErI,83,2021-06-11,189486,False,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI,0.775,0.327,11,-7.241,1,0.0557,0.841,0.0,0.0821,0.595,91.05
7,Into Your Arms (feat. Ava Max),"Witt Lowry, Ava Max",Into Your Arms (feat. Ava Max),0boA7GUGSxOMWwdnnTR0yI,0b11D9D0hMOYCIMN3OKreM,71,2018-06-08,186022,True,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM,0.504,0.788,3,-4.113,0,0.214,0.0132,0.0,0.363,0.228,169.907
8,Arcade,Duncan Laurence,Arcade,7BISGeB7QwhqRIadxuLHfG,1Xi84slp6FryDSCbzq4UCD,74,2019-03-07,183624,False,https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD,0.459,0.331,9,-12.603,0,0.0421,0.817,0.00104,0.135,0.271,72.023
9,Kings & Queens,Ava Max,Heaven & Hell,26c7MmQ4w8EAvVLb4jilaM,7a53HqqArd4b9NF4XAmlbI,81,2020-09-18,162399,False,https://open.spotify.com/track/7a53HqqArd4b9NF4XAmlbI,0.637,0.69,1,-4.057,0,0.0405,0.00786,0.0,0.124,0.457,129.857
